2026-05-17 17:27:58 | session | default_trace_id | INFO | {"event_id": "1a0392b5-d8d7-4458-b5cc-43b3fe7746b5", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:27:58.114818+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "8b4f7358-2380-493f-9d8d-c8cd97ee5e40", "status": "success", "message": "Workflow checkpoint cleared on completion", "metadata": {"reason": "workflow_completed", "storage_type": "persistence"}, "workflow_id": "2c9d88252b364fa8a8a5dbdde8ed37ea"}
2026-05-17 17:39:26 | session | default_trace_id | INFO | {"event_id": "852a0b34-35ed-49eb-a5bd-ae4a7a60dde7", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:39:26.305305+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "526257e1-114d-421a-af7d-d7a2c4505138", "status": "success", "message": "Workflow checkpoint restore initiated", "metadata": {"operation": "pre_execute", "storage_type": "persistence"}, "workflow_id": "8ee7eb8c23504fd2a21afdd700fe3b5c"}
2026-05-17 17:39:26 | session | default_trace_id | INFO | {"event_id": "8fd567ba-be7f-4f9c-8534-038f4df8d6b9", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:39:26.350577+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "526257e1-114d-421a-af7d-d7a2c4505138", "status": "success", "message": "Workflow checkpoint save on interrupt", "metadata": {"reason": "interaction_required", "storage_type": "persistence"}, "workflow_id": "8ee7eb8c23504fd2a21afdd700fe3b5c"}
2026-05-17 17:39:26 | session | default_trace_id | INFO | {"event_id": "4fcd0c64-c6f7-4881-92b7-7aecb2944caa", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:39:26.363589+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "526257e1-114d-421a-af7d-d7a2c4505138", "status": "success", "message": "Workflow checkpoint restore initiated", "metadata": {"operation": "pre_execute", "storage_type": "persistence"}, "workflow_id": "8ee7eb8c23504fd2a21afdd700fe3b5c"}
2026-05-17 17:39:26 | session | default_trace_id | INFO | {"event_id": "0405e59e-cacc-4b9b-97bf-d7af30268f91", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:39:26.376580+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "526257e1-114d-421a-af7d-d7a2c4505138", "status": "success", "message": "Workflow checkpoint cleared on completion", "metadata": {"reason": "workflow_completed", "storage_type": "persistence"}, "workflow_id": "8ee7eb8c23504fd2a21afdd700fe3b5c"}
2026-05-17 17:40:02 | session | default_trace_id | INFO | {"event_id": "1b19271b-1ede-420c-b2c9-3611b39023fb", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:40:02.029062+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7a7d5bd5-5fbb-4aa6-a818-550fd8097de3", "status": "success", "message": "Workflow checkpoint restore initiated", "metadata": {"operation": "pre_execute", "storage_type": "persistence"}, "workflow_id": "1e8f507cc63242219ec9a7d206364425"}
2026-05-17 17:40:27 | session | default_trace_id | INFO | {"event_id": "7f53e266-1bc8-4502-a5f6-ceda10d868c9", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.266356+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "3e2a54c5-16b9-4c60-bb19-2ba3ea2f0de9", "status": "success", "message": "Workflow checkpoint restore initiated", "metadata": {"operation": "pre_execute", "storage_type": "persistence"}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868"}
2026-05-17 17:40:27 | session | default_trace_id | INFO | {"event_id": "f6a37c07-a264-4f9d-bb9f-d57b01d64d63", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.333694+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "3e2a54c5-16b9-4c60-bb19-2ba3ea2f0de9", "status": "success", "message": "Workflow checkpoint save on interrupt", "metadata": {"reason": "interaction_required", "storage_type": "persistence"}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868"}
2026-05-17 17:40:27 | session | default_trace_id | INFO | {"event_id": "2d302225-3862-4fda-9b89-8d5a6901832e", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.347620+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "3e2a54c5-16b9-4c60-bb19-2ba3ea2f0de9", "status": "success", "message": "Workflow checkpoint restore initiated", "metadata": {"operation": "pre_execute", "storage_type": "persistence"}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868"}
2026-05-17 17:40:27 | session | default_trace_id | INFO | {"event_id": "3def72ee-01c0-4c34-9632-30295595d6f8", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T17:40:27.359348+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "3e2a54c5-16b9-4c60-bb19-2ba3ea2f0de9", "status": "success", "message": "Workflow checkpoint cleared on completion", "metadata": {"reason": "workflow_completed", "storage_type": "persistence"}, "workflow_id": "46ac746e66dc4cfeacc5282edb378868"}
