2026-05-17 15:27:18 | session | default_trace_id | INFO | {"event_id": "ac1cfa57-220c-4bc0-96d7-cc1eb297ac61", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T15:27:18.486195+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7b99d29f-11e1-486e-9997-8d094285e457", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "b988d9ca90cc41f6ab6eee0f1a8981aa"}
2026-05-17 15:27:18 | session | default_trace_id | INFO | {"event_id": "9e3d427a-5579-4eb8-8bc5-b077e354561b", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:27:18.492698+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7b99d29f-11e1-486e-9997-8d094285e457", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "b988d9ca90cc41f6ab6eee0f1a8981aa"}
2026-05-17 15:27:18 | session | default_trace_id | INFO | {"event_id": "3ff0fcff-140f-4097-a165-a98c5dcca95d", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:27:18.492901+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7b99d29f-11e1-486e-9997-8d094285e457", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "b988d9ca90cc41f6ab6eee0f1a8981aa"}
2026-05-17 15:27:18 | session | default_trace_id | INFO | {"event_id": "6cb96d5c-5534-46e1-8c8b-fb8c711acd02", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T15:27:18.493099+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "7b99d29f-11e1-486e-9997-8d094285e457", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "b988d9ca90cc41f6ab6eee0f1a8981aa"}
2026-05-17 15:27:28 | session | default_trace_id | INFO | {"event_id": "c2711d80-524e-4e62-99d9-6fe58a710e81", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T15:27:28.109453+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "d5c6e814-a210-438e-a3c3-4b2c1ba2ef9f", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "02049474aa4c465fb85b1407572a82a0"}
2026-05-17 15:27:28 | session | default_trace_id | INFO | {"event_id": "93688d99-3250-4757-914e-605159f40e7c", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:27:28.152254+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "d5c6e814-a210-438e-a3c3-4b2c1ba2ef9f", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "02049474aa4c465fb85b1407572a82a0"}
2026-05-17 15:27:28 | session | default_trace_id | INFO | {"event_id": "6dacf897-5606-4cdb-868a-dbaa9db95c70", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T15:27:28.152574+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "d5c6e814-a210-438e-a3c3-4b2c1ba2ef9f", "status": "success", "message": "Succeed to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "02049474aa4c465fb85b1407572a82a0"}
2026-05-17 15:27:28 | session | default_trace_id | INFO | {"event_id": "31955ed8-338a-4f96-9f10-4946bb886f04", "event_type": "checkpointer_store_remove", "log_level": "INFO", "timestamp": "2026-05-17T15:27:28.152951+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "d5c6e814-a210-438e-a3c3-4b2c1ba2ef9f", "status": "success", "message": "Remove workflow checkpoint store on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "02049474aa4c465fb85b1407572a82a0"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "4c808be0-dc1c-40cd-8f11-de6c82e1c026", "event_type": "checkpointer_store_add", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.287052+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9a39bee6-5d46-4c01-9681-69fb77682805", "status": "success", "message": "Create a new workflow checkpointer store before workflow execute", "metadata": {"storage_type": "inmemory"}, "workflow_id": "755409db14fa408b908b5cade5808306"}
2026-05-17 16:02:52 | session | default_trace_id | INFO | {"event_id": "85fdfa18-2cbc-4232-971a-f518a6d44f03", "event_type": "checkpoint_clear", "log_level": "INFO", "timestamp": "2026-05-17T16:02:52.301216+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "9a39bee6-5d46-4c01-9681-69fb77682805", "status": "success", "message": "Begin to clear all of current workflow's checkpoints on workflow execute completion", "metadata": {"storage_type": "inmemory"}, "workflow_id": "755409db14fa408b908b5cade5808306"}
