2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "dfbd2227-306b-4f85-8a12-da62cd213921", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.609058+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "5b9dedf4-31e2-4646-b05c-faf0a31206a2", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.609963+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:53:09 | session | default_trace_id | INFO | {"event_id": "b12e2636-f54b-44fc-81db-61e05ee61fc5", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:53:09.610710+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "111e6c3c-e68f-4c6b-ad0d-70a16585a382", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.764998+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "stock_flow"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "cf0bfdf9-263c-4568-bb0b-0f6e0674e9a9", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.765319+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to save workflow checkpoint on workflow interruption", "metadata": {"storage_type": "inmemory"}, "workflow_id": "stock_flow"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "9c438bb3-0afd-44b6-9379-2e42a673653d", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.769769+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "035042ac-4ef7-4540-8e7b-1e6a74d19b94", "event_type": "checkpoint_save", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.770446+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to save agent checkpoint on agent execute completion", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "b576461f-076e-433c-8c28-abea163bcb9d", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.771236+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "0465e5e6-18d9-4b58-8db0-327a5d8f8857", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.771715+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "9fde195c-db01-4e1a-a2c3-1d9f32fbe62f", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.772225+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Begin to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
2026-04-17 18:57:31 | session | default_trace_id | INFO | {"event_id": "112dc41f-e573-49af-befb-661181b89789", "event_type": "checkpoint_restore", "log_level": "INFO", "timestamp": "2026-04-17T18:57:31.772667+08:00", "module_type": "session", "module_id": "session", "module_name": "session", "session_id": "demo-jump-recovery-001", "status": "success", "message": "Succeed to restore agent session before agent execute", "metadata": {"storage_type": "inmemory"}, "agent_id": "multi_workflow_jump_agent"}
